ID,Target
13.0,0
17.0,0
24.0,0
48.0,0
78.0,0
87.0,0
123.0,0
153.0,0
164.0,0
176.0,0
252.0,0
255.0,0
263.0,0
269.0,1
271.0,1
295.0,0
322.0,0
332.0,1
340.0,1
405.0,1
477.0,1
492.0,1
500.0,1
521.0,0
531.0,1
544.0,0
550.0,0
569.0,1
607.0,1
626.0,0
642.0,0
692.0,0
736.0,0
737.0,1
762.0,1
800.0,0
832.0,0
898.0,0
902.0,0
940.0,0
954.0,0
975.0,0
977.0,1
983.0,0
1000.0,1
1008.0,1
1041.0,1
1045.0,0
1052.0,1
1055.0,0
1064.0,0
1071.0,1
1081.0,1
1087.0,0
1092.0,1
1100.0,0
1103.0,1
1131.0,0
1139.0,1
1146.0,1
1158.0,0
1165.0,0
1168.0,0
1170.0,0
1172.0,1
1215.0,0
1241.0,0
1250.0,0
1321.0,0
1351.0,1
1378.0,1
1381.0,0
1399.0,0
1403.0,0
1404.0,0
1406.0,0
1407.0,0
1419.0,0
1440.0,1
1448.0,0
1458.0,0
1459.0,1
1513.0,1
1515.0,0
1518.0,1
1544.0,1
1570.0,1
1612.0,0
1619.0,0
1626.0,0
1630.0,0
1631.0,1
1646.0,0
1655.0,0
1665.0,1
1743.0,0
1744.0,0
1764.0,0
1772.0,1
1773.0,0
1818.0,0
1834.0,0
1839.0,0
1867.0,0
1876.0,0
1890.0,0
1891.0,1
1916.0,0
1951.0,0
1958.0,0
1964.0,0
1990.0,1
2002.0,0
2079.0,1
2088.0,1
2109.0,0
2115.0,0
2118.0,0
2130.0,0
2154.0,0
2156.0,0
2162.0,0
2181.0,0
2186.0,1
2202.0,0
2254.0,0
2262.0,0
2285.0,1
2295.0,0
2326.0,0
2337.0,0
2345.0,0
2375.0,0
2406.0,0
2415.0,0
2429.0,1
2431.0,0
2452.0,1
2471.0,0
2478.0,0
2493.0,1
2495.0,0
2499.0,1
2546.0,0
2549.0,0
2565.0,1
2570.0,1
2591.0,0
2612.0,1
2631.0,0
2632.0,1
2634.0,0
2639.0,0
2656.0,0
2666.0,1
2681.0,0
2686.0,0
2694.0,0
2711.0,0
2712.0,0
2715.0,1
2736.0,0
2747.0,0
2781.0,1
2797.0,1
2802.0,0
2814.0,0
2829.0,1
2831.0,0
2870.0,1
2878.0,0
2886.0,1
2909.0,1
2929.0,0
2948.0,0
2952.0,0
2961.0,0
2980.0,0
3006.0,0
3009.0,1
3010.0,1
3011.0,0
3032.0,0
3074.0,0
3091.0,1
3104.0,1
3107.0,0
3112.0,0
3117.0,0
3130.0,0
3138.0,1
3170.0,0
3254.0,0
3262.0,1
3265.0,0
3266.0,0
3276.0,0
3283.0,0
3286.0,0
3298.0,1
3334.0,1
3389.0,1
3409.0,1
3422.0,1
3426.0,0
3427.0,1
3433.0,1
3434.0,0
3491.0,1
3498.0,1
3503.0,0
3507.0,1
3517.0,0
3520.0,1
3524.0,0
3565.0,0
3570.0,0
3571.0,1
3578.0,0
3595.0,1
3599.0,1
3657.0,1
3661.0,0
3678.0,1
3690.0,1
3722.0,0
3766.0,1
3783.0,0
3790.0,1
3798.0,0
3799.0,1
3828.0,1
3829.0,0
3850.0,0
3859.0,1
3878.0,0
3919.0,1
3945.0,1
3968.0,1
3969.0,0
4001.0,1
4023.0,0
4055.0,0
4065.0,1
4084.0,0
4095.0,0
4102.0,0
4122.0,1
4127.0,1
4168.0,1
4198.0,0
4201.0,0
4227.0,0
4261.0,1
4268.0,0
4286.0,1
4328.0,0
4331.0,1
4333.0,0
4338.0,0
4351.0,0
4369.0,0
4377.0,1
4385.0,0
4390.0,1
4418.0,1
4426.0,1
4427.0,1
4470.0,0
4478.0,1
4480.0,0
4541.0,0
4547.0,0
4548.0,0
4552.0,0
4608.0,0
4609.0,1
4619.0,0
4643.0,0
4656.0,1
4676.0,1
4686.0,1
4687.0,0
4712.0,0
4749.0,1
4764.0,0
4786.0,1
4796.0,0
4827.0,1
4837.0,1
4838.0,0
4860.0,0
4865.0,1
4867.0,1
4915.0,1
4931.0,0
4954.0,0
4967.0,1
4971.0,1
4973.0,0
4974.0,1
4994.0,1
5010.0,0
5015.0,0
5062.0,0
5079.0,0
5092.0,1
5093.0,0
5113.0,1
5117.0,0
5120.0,0
5136.0,1
5138.0,0
5150.0,0
5177.0,0
5180.0,0
5185.0,0
5186.0,1
5209.0,1
5223.0,0
5247.0,0
5250.0,0
5272.0,1
5283.0,0
5294.0,0
5299.0,1
5302.0,1
5316.0,0
5350.0,0
5370.0,1
5393.0,0
5394.0,0
5396.0,0
5423.0,0
5441.0,0
5453.0,1
5454.0,0
5474.0,0
5513.0,0
5517.0,0
5534.0,1
5544.0,1
5558.0,0
5623.0,0
5626.0,0
5628.0,1
5631.0,0
5667.0,1
5684.0,0
5721.0,0
5734.0,0
5782.0,1
5790.0,0
5796.0,0
5802.0,0
5831.0,1
5832.0,0
5847.0,0
5866.0,0
5872.0,1
5883.0,0
5892.0,0
5896.0,0
5939.0,0
5959.0,0
5991.0,1
6097.0,1
6103.0,0
6147.0,0
6168.0,0
6173.0,1
6183.0,0
6200.0,1
6203.0,0
6214.0,0
6215.0,0
6237.0,0
6248.0,1
6250.0,1
6257.0,0
6261.0,0
6262.0,0
6281.0,1
6289.0,0
6292.0,1
6343.0,1
6347.0,0
6349.0,0
6355.0,0
6382.0,0
6409.0,0
6417.0,0
6428.0,0
6437.0,0
6457.0,0
6461.0,0
6497.0,1
6507.0,0
6544.0,0
6568.0,0
6575.0,1
6616.0,0
6663.0,0
6673.0,0
6679.0,0
6710.0,0
6715.0,1
6721.0,1
6729.0,0
6742.0,0
6815.0,1
6859.0,1
6866.0,0
6870.0,0
6892.0,1
6906.0,1
6912.0,0
6950.0,0
6958.0,0
6977.0,1
6983.0,0
7002.0,0
7004.0,0
7005.0,0
7007.0,0
7019.0,0
7022.0,1
7042.0,0
7101.0,1
7118.0,1
7124.0,0
7129.0,1
7165.0,0
7181.0,0
7187.0,0
7233.0,1
7261.0,1
7270.0,0
7313.0,1
7327.0,0
7349.0,0
7366.0,1
7393.0,0
7396.0,1
7397.0,1
7408.0,1
7419.0,0
7428.0,0
7433.0,0
7441.0,0
7485.0,0
7500.0,1
7505.0,0
7530.0,0
7532.0,1
7592.0,0
7600.0,0
7610.0,0
7620.0,0
7629.0,0
7679.0,0
7699.0,1
7732.0,0
7734.0,1
7788.0,0
7807.0,1
7832.0,1
7842.0,0
7849.0,0
7861.0,1
7872.0,1
7873.0,0
7881.0,0
7899.0,1
7901.0,0
7919.0,1
7943.0,0
7947.0,0
7960.0,0
7966.0,1
7990.0,0
8008.0,0
8041.0,1
8070.0,0
8079.0,0
8080.0,0
8093.0,0
8135.0,0
8143.0,1
8175.0,0
8207.0,0
8212.0,0
8230.0,0
8235.0,1
8286.0,1
8299.0,0
8312.0,0
8334.0,0
8341.0,0
8360.0,0
8372.0,0
8395.0,1
8397.0,0
8416.0,0
8439.0,1
8462.0,0
8486.0,1
8514.0,0
8524.0,0
8527.0,0
8537.0,0
8566.0,0
8584.0,0
8602.0,0
8605.0,0
8619.0,0
8625.0,0
8659.0,0
8685.0,0
8720.0,1
8722.0,1
8726.0,0
8775.0,0
8780.0,0
8799.0,0
8812.0,0
8832.0,0
8852.0,1
8858.0,1
8895.0,0
8910.0,1
8925.0,1
8933.0,0
8969.0,0
9014.0,0
9029.0,0
9064.0,1
9119.0,0
9150.0,0
9166.0,0
9167.0,1
9216.0,0
9242.0,1
9246.0,0
9256.0,1
9284.0,1
9289.0,0
9291.0,0
9292.0,0
9298.0,1
9303.0,0
9323.0,1
9362.0,1
9405.0,0
9423.0,0
9432.0,0
9467.0,0
9481.0,0
9507.0,1
9576.0,0
9589.0,0
9595.0,1
9612.0,0
9645.0,0
9648.0,1
9668.0,0
9706.0,0
9710.0,1
9723.0,1
9727.0,0
9729.0,1
9790.0,1
9797.0,0
9817.0,0
9829.0,0
9847.0,1
9860.0,1
9905.0,0
9907.0,0
9916.0,0
9923.0,0
9931.0,0
9952.0,0
9955.0,0
9971.0,0
9986.0,0
10001.0,0
10057.0,0
10061.0,1
10067.0,0
10069.0,0
10084.0,0
10091.0,0
10092.0,1
10099.0,0
10104.0,0
10127.0,1
10129.0,0
10141.0,0
10157.0,0
10163.0,1
10164.0,1
10176.0,1
10177.0,1
10207.0,0
10241.0,0
10250.0,0
10281.0,0
10304.0,0
10307.0,0
10311.0,1
10323.0,0
10339.0,0
10340.0,0
10352.0,1
10356.0,1
10394.0,1
10398.0,0
